File,Sentence,Fronted Element,Fronted Element Type,Locative,Verb,Subject,Quotative,Discourse Function,Information Structure
text_acad_2010.txt,"The people of Murlo are now convinced that they are genuine Etruscans , but the fact remains that there is no ancient DNA with which to compare theirs , "" says archaeologist Jane Whitehead of Valdosta State University .","The people of Murlo are now convinced that they are genuine Etruscans , but the fact remains that there is no ancient DNA with which to compare theirs",AdvP,Non-locative,says,archaeologist Jane Whitehead of Valdosta State University,Yes,Quotative,Other
text_acad_2010.txt,"It was one of the most powerful cities of the Etruscan league , and a wealthy center of trade and commerce , "" says port and seeing these two imposing mounds .","It was one of the most powerful cities of the Etruscan league , and a wealthy center of trade and commerce",Other,Locative,says,port,Yes,Quotative,Other
text_acad_2010.txt,"It looks like the local aristocracy wanted an original design , different from all the others in Tarquinia , "" says Mandolesi .","It looks like the local aristocracy wanted an original design , different from all the others in Tarquinia",VP,Non-locative,says,Mandolesi,Yes,Quotative,Other
text_acad_2010.txt,"This suggests that decorative imagery , seen before only on pottery , was used says Mandolesi .","This suggests that decorative imagery , seen before only on pottery , was used",Other,Non-locative,says,Mandolesi,Yes,Quotative,Other
text_acad_2010.txt,"Most likely , this was a room used for funerary rites such as the leaving of offerings , animal sacrifices , and celebrations for the deceased , "" says Mandolesi .","Most likely , this was a room used for funerary rites such as the leaving of offerings , animal sacrifices , and celebrations for the deceased",AdjP,Locative,says,Mandolesi,Yes,Quotative,Other
text_acad_2010.txt,"royal treasure , "" says Mandolesi . """,royal treasure,AdjP,Non-locative,says,Mandolesi,Yes,Quotative,Other
text_acad_2010.txt,"With these stones , he feels Jewish , "" says Rabbi Shmuel Rabinovitch of the Western Wall Heritage Foundation , an organization that supervises and funds excavations and administers the underground network of tunnels adjacent to the Western Wall .","With these stones , he feels Jewish",VP,Non-locative,says,"Rabbi Shmuel Rabinovitch of the Western Wall Heritage Foundation , an organization that supervises and funds excavations and",Yes,Quotative,Other
text_acad_2010.txt,"With these stones , he feels Jewish , "" says Rabbi Shmuel Rabinovitch of the Western Wall Heritage Foundation , an organization that supervises and funds excavations and administers the underground network of tunnels adjacent to the Western Wall .","With these stones , he feels Jewish",VP,Non-locative,says,administers the underground network of tunnels adjacent to the Western Wall,Yes,Quotative,Other
text_acad_2010.txt,"The question is how the dig director runs things , "" explains Finkelstein .",The question is how the dig director runs things,Other,Non-locative,explains,Finkelstein,Yes,Quotative,Other
text_acad_2010.txt,"Perhaps they have a development plan but they do n't take us into consideration , "" says Baha Jubeh , a Silwan resident who works for the Palestinian Riwaq Center for Architectural Conservation , based in Ramallah .",Perhaps they have a development plan but they do n't take us into consideration,VP,Locative,says,"Baha Jubeh , a Silwan resident who works for the Palestinian Riwaq Center for Architectural Conservation , based in Ramallah",Yes,Quotative,Other
text_acad_2010.txt,"When archaeology and history are infused with values , they are much stronger and more meaningful , "" says Rabbi Rabinovitch of the Western Wall Heritage Foundation .","When archaeology and history are infused with values , they are much stronger and more meaningful",AdjP,Non-locative,says,Rabbi Rabinovitch of the Western Wall Heritage Foundation,Yes,Quotative,Other
text_acad_2010.txt,"</p> Palestinian officials declare that they have an inclusive view of archaeology but , as their own Antiquities Department is prevented from operating in Jerusalem and large areas of the West Bank , this approach has little all cultural and historical layers regardless of which period , "" says Palestinian Tourism Minister Khuloud Deibas , whose office is responsible for archaeology in the West Bank .","< /p > Palestinian officials declare that they have an inclusive view of archaeology but ,",VP,Non-locative,says,"Palestinian Tourism Minister Khuloud Deibas , whose office is responsible for archaeology in the West Bank",Yes,Quotative,Other
text_acad_2010.txt,"</p> Palestinian officials declare that they have an inclusive view of archaeology but , as their own Antiquities Department is prevented from operating in Jerusalem and large areas of the West Bank , this approach has little all cultural and historical layers regardless of which period , "" says Palestinian Tourism Minister Khuloud Deibas , whose office is responsible for archaeology in the West Bank .","as their own Antiquities Department is prevented from operating in Jerusalem and large areas of the West Bank , this approach has little all cultural and historical layers regardless of which period",VP,Locative,says,"Palestinian Tourism Minister Khuloud Deibas , whose office is responsible for archaeology in the West Bank",Yes,Quotative,Other
text_acad_2010.txt,"Its birth is shrouded in the mists of antiquity , "" wrote William Giles Nash , a Rio Tinto Company employee , in 1904 .",Its birth is shrouded in the mists of antiquity,VP,Non-locative,wrote,"William Giles Nash , a Rio Tinto Company employee",No,Discourse structuring,Other
text_acad_2010.txt,"The Phoenicians arrived in Spain around 1100 B.C. -- their ships filled with ceramics , jewelry , and textiles for trading -- and moved inland during the ninth century B.C. "" They did n't bring weapons , "" says Thomas Schattner , a professor of classical archaeology at Germany 's University of Giessen . ""","The Phoenicians arrived in Spain around 1100 B.C. -- their ships filled with ceramics , jewelry , and textiles for trading -- and moved inland during the ninth century B.C. "" They did n't bring weapons",VP,Non-locative,says,"Thomas Schattner , a professor of classical archaeology at Germany 's University of Giessen",Yes,Quotative,Other
text_acad_2010.txt,"Among the finds at Riotinto , Schattner says , are rectangular clay nozzles that had been attached to leather bellows , which pumped air into smelting furnaces .",Among the finds at Riotinto,PP,Non-locative,are,"rectangular clay nozzles that had been attached to leather bellows , which pumped air into smelting furnaces",No,Discourse structuring,Other
text_acad_2010.txt,"Among the finds at Riotinto , Schattner says , are rectangular clay nozzles that had been attached to leather bellows , which pumped air into smelting furnaces .",", Schattner says",Other,Non-locative,are,"rectangular clay nozzles that had been attached to leather bellows , which pumped air into smelting furnaces",No,Discourse structuring,Other
text_acad_2010.txt,"Beyond mining , the says Schattner .",Beyond mining,PP,Locative,says,Schattner,Yes,Quotative,Other
text_acad_2010.txt,""" The excavations in the mines themselves cemeteries and mining settlements show that the sheer scale is much more important in the Roman period , "" says Jonathan Edmondson , chair of the history department at York University in Toronto .",""" The excavations in the mines themselves cemeteries and mining settlements show that the sheer scale is much more important in the Roman period",VP,Non-locative,says,"Jonathan Edmondson , chair of the history department at York University in Toronto",Yes,Quotative,Other
text_acad_2010.txt,"Basically , it ensured Rome a constant supply of fresh metal for increased minting of silver and lower-denomination copper-based coins , "" says Edmondson .","Basically , it ensured Rome a constant supply of fresh metal for increased minting of silver and lower - denomination copper - based coins",VP,Non-locative,says,Edmondson,Yes,Quotative,Other
text_acad_2010.txt,"In these parts I have discovered very important secrets , "" wrote Delgado in a letter to the king , in which he enclosed three buttons of silver .",In these parts I have discovered very important secrets,VP,Locative,wrote,Delgado,No,Scene-setting,Other
text_acad_2010.txt,"The contamination started pretty much at the initiation of mining , "" says co-author Jeffrey Ryan , chair of geology at the University of South Florida .",The contamination started pretty much at the initiation of mining,VP,Non-locative,says,co,Yes,Quotative,Other
text_acad_2010.txt,"The contamination started pretty much at the initiation of mining , "" says co-author Jeffrey Ryan , chair of geology at the University of South Florida .",The contamination started pretty much at the initiation of mining,VP,Non-locative,says,"- author Jeffrey Ryan , chair of geology at the University of South Florida",Yes,Quotative,Other
text_acad_2010.txt,"If one is unable to accomplish those two goals , what is it worth to have a museum full of archaeological pieces ? """,If one is unable to accomplish those two goals,AdjP,Non-locative,is,it,No,Discourse structuring,Other
text_acad_2010.txt,"The Arawaks spread from southern Brazil , throughout the Amazon , to the Caribbean , "" says Neves . ""","The Arawaks spread from southern Brazil , throughout the Amazon , to the Caribbean",VP,Locative,says,Neves,Yes,Quotative,Other
text_acad_2010.txt,""" Jim had uncovered an Arawak village on Montserrat in the Caribbean that dated back 2,500 years , and I 'd found evidence of Arawak culture with the Kuikuro Indians , "" says Heckenberger .",""" Jim had uncovered an Arawak village on Montserrat in the Caribbean that dated back 2,500 years , and I 'd found evidence of Arawak culture with the Kuikuro Indians",VP,Locative,says,Heckenberger,Yes,Quotative,Other
text_acad_2010.txt,"Donna Stella was one of the rare spots in the Amazon that contained stone hard enough to make tools , "" says Neves .",Donna Stella was one of the rare spots in the Amazon that contained stone hard enough to make tools,Other,Non-locative,says,Neves,Yes,Quotative,Other
text_acad_2010.txt,"But they incorporated themselves into the Arawak society , and accepted their cultural ways , "" says Neves .","But they incorporated themselves into the Arawak society , and accepted their cultural ways",VP,Non-locative,says,Neves,Yes,Quotative,Other
text_acad_2010.txt,""" It 's a highly theatrical landscape , "" says Gaffney .",""" It 's a highly theatrical landscape",Other,Non-locative,says,Gaffney,Yes,Quotative,Other
text_acad_2010.txt,"More likely is the possibility that it was a post circle built as the first stage in a Bronze Age burial mound -- the mound is still visible today , "" he said in an email . """,More likely,AdjP,Non-locative,is,the possibility that it was a post circle built as the first stage in a Bronze Age burial mound,No,Comparative,Other
text_acad_2010.txt,"You can pay your money and take your pick of theories until there is an excavation , "" said Gaffney .",You can pay your money and take your pick of theories until there is an excavation,VP,Non-locative,said,Gaffney,Yes,Quotative,Other
text_acad_2010.txt,"There does not seem to have been such an extreme separation between Christians and Jews as formerly thought , "" says Schtte . """,There does not seem to have been such an extreme separation between Christians and Jews as formerly thought,VP,Locative,says,Schtte,Yes,Quotative,Other
text_acad_2010.txt,""" Just look at what happened at Jewbury , "" says Polonovski of the French Ministry of Culture , referring to a section of the British city of York occupied by Jews between 1190 and 1260 .",""" Just look at what happened at Jewbury",VP,Non-locative,says,Polonovski of the French Ministry of Culture,Yes,Quotative,Other
text_acad_2010.txt,"It was a daily grinding struggle , but Mair , with his mastery of Mandarin Chinese and his reputation as a serious scholar , opened doors that the Chinese authorities were essential to initiating genetic , archaeological , and textile studies , "" says Paolo Francalacci , a geneticist specializing in ancient DNA at the University of Sassari in Italy .","It was a daily grinding struggle , but Mair , with his mastery of Mandarin Chinese and his reputation as a serious scholar , opened doors that the Chinese authorities were essential to initiating genetic , archaeological , and textile studies",Other,Non-locative,says,"Paolo Francalacci , a geneticist specializing in ancient DNA at the University of Sassari in Italy",Yes,Quotative,Other
text_acad_2010.txt,"Today , Mair has "" opened up the entire study of the Bronze and Iron ages of Xinjiang and ensured that we go beyond simple descriptions of the better-preserved mummies and deal with the really big questions such as their origin , their languages , their genetic identity , and their role in the transmission of culture between East and West , "" notes James Mallory , an archaeologist at Queen 's University Belfast .","Today , Mair has "" opened up the entire study of the Bronze and Iron ages of Xinjiang and ensured that we go beyond simple descriptions of the better - preserved mummies and deal with the really big questions such as their origin , their languages , their genetic identity , and their role in the transmission of culture between East and West",VP,Locative,notes,"James Mallory , an archaeologist at Queen 's University Belfast",No,Scene-setting,Other
text_acad_2010.txt,"Victor was always trying to push the envelope intellectually , "" says childhood friend Dennis Wenger , now a program director at the National Science Foundation in Washington , D.C.",Victor was always trying to push the envelope intellectually,VP,Non-locative,says,"childhood friend Dennis Wenger , now a program director at the National Science Foundation in Washington , D.C.",Yes,Quotative,Other
text_acad_2010.txt,""" He is extraordinarily passionate about whatever he is working on , "" says Mallory , "" and he really brought this passion to the studies of the mummies . """,He is extraordinarily passionate about whatever he is working on,AdjP,Non-locative,says,Mallory,Yes,Quotative,Other
text_acad_2010.txt,"The Beauty of Xiaohe , notes Elizabeth Barber , a professor emerita at Occidental College in Los Angeles and one of the world 's leading experts on ancient textiles , wears a distinctive kind of undergarment known as a string skirt .",The Beauty of Xiaohe,PP,Non-locative,notes,"Elizabeth Barber , a professor emerita at Occidental College in Los Angeles and one of the world 's leading experts on ancient textiles",No,Discourse structuring,Other
text_acad_2010.txt,"Consisting of a wide hipband and several dangling pieces of twisted wool , the garment "" belongs to a specifically European tradition , "" says Barber .","Consisting of a wide hipband and several dangling pieces of twisted wool , the garment "" belongs to a specifically European tradition",VP,Non-locative,says,Barber,Yes,Quotative,Other
text_acad_2010.txt,"I have so many good Uyghur friends , "" says Mair . """,I have so many good Uyghur friends,VP,Non-locative,says,Mair,Yes,Quotative,Other
text_acad_2010.txt,"Close behind is the council of elders , their conical hats bright with pink and red feathers .",Close behind,AdvP,Non-locative,is,"the council of elders ,",No,Discourse structuring,Other
text_acad_2010.txt,"Close behind is the council of elders , their conical hats bright with pink and red feathers .",Close behind,AdvP,Non-locative,is,their conical hats bright with pink and red feathers,No,Discourse structuring,Other
text_acad_2010.txt,"The Teenek , also known as Huastecs , have gathered here because they consider it important to perform the Xantolo rituals at the ancient site , where they feel they can best honor their local dignitaries , draped in cempaschil garlands , is archaeologist Estela Martnez from the National Institute of Anthropology and History ( abbreviated INAH in Spanish ) ; on the edge of the procession , snapping photographs , is her co-investigator , Guillermo Crdova .","The Teenek , also known as Huastecs , have gathered here because they consider it important to perform the Xantolo rituals at the ancient site , where they feel they can best honor their local dignitaries , draped in cempaschil garlands",VP,Locative,is,archaeologist Estela Martnez,No,Scene-setting,Other
text_acad_2010.txt,"For us , Tamtoc is the ancestral town of the Teenek culture , "" says Chief Martnez , "" and we come today to worship our dead","For us , Tamtoc is the ancestral town of the Teenek culture",PP,Non-locative,says,Chief Martnez,Yes,Quotative,Other
text_acad_2010.txt,"At Tamtoc , one of the few places where archaeology has been done in the Huasteca , Crdova and Martnez are charting a sequence of occupation and sudden abandonment , of possible epidemics and floods , of cultures that worshipped male power and female fertility , only to of the people who built the enormous slab , says Crdova , "" we know absolutely nothing . ""","At Tamtoc , one of the few places where archaeology has been done in the Huasteca , Crdova and Martnez are charting a sequence of occupation and sudden abandonment , of possible epidemics and floods , of cultures that worshipped male power and female fertility , only to of the people who built the enormous slab",VP,Locative,says,Crdova,Yes,Quotative,Other
text_acad_2010.txt,Below this bloody line is the underworld where the headless figures dwell ; they wear skulls for shoes and only their arms emerge to proffer what look like crowns to the sky .,Below this bloody line,PP,Locative,is,the underworld where the headless figures dwell,No,Scene-setting,Other
text_acad_2010.txt,"Wrapped in funeral shrouds and wearing green fluorite jewelry , they were propped up in sitting positions and facing east "" as if they are all waiting for something to happen , "" says INAH forensic anthropologist Patricia Hernndez .","Wrapped in funeral shrouds and wearing green fluorite jewelry , they were propped up in sitting positions and facing east "" as if they are all waiting for something to happen",VP,Locative,says,INAH forensic anthropologist Patricia Hernndez,Yes,Quotative,Other
text_acad_2010.txt,"In many cultures the common people are local , and the rulers are from different regions , "" says Martnez .","In many cultures the common people are local , and the rulers are from different regions",PP,Locative,says,Martnez,Yes,Quotative,Other
text_acad_2010.txt,"When they dug into a terrace beside the site 's western mound , they found that , like the mounds at Cahokia outside St. Louis , it had been piled up layer by layer in basket-sized loads , with dirt from pits that became the lagoons and dug , "" says Davila , "" but I understood nothing . ""","When they dug into a terrace beside the site 's western mound , they found that , like the mounds at Cahokia outside St. Louis , it had been piled up layer by layer in basket - sized loads , with dirt from pits that became the lagoons and dug",VP,Non-locative,says,Davila,Yes,Quotative,Other
text_acad_2010.txt,"We think there was a migration by sea , "" says Dvila .",We think there was a migration by sea,VP,Non-locative,says,Dvila,Yes,Quotative,Other
text_acad_2010.txt,""" We preserve the rituals and ceremonies that come from our pre-Hispanic ancestors , "" says Chief Martnez . """,We preserve the rituals and ceremonies that come from our pre - Hispanic ancestors,VP,Non-locative,says,Chief Martnez,Yes,Quotative,Other
text_acad_2010.txt,"They "" constitute the best-preserved population of temples of any Greek city , save possibly Athens , "" says Brown University archaeologist R. Ross Holloway .","They "" constitute the best - preserved population of temples of any Greek city , save possibly Athens",VP,Non-locative,says,Brown University archaeologist R. Ross Holloway,Yes,Quotative,Other
text_acad_2010.txt,"A prosperous Greek colony became a marginal Roman one as overland trade routes shifted away led lives unencumbered by great possessions in a city declining in importance and becoming a bit of a backwater , "" writes University of Michigan professor emeritus John Griffiths Pedley in his book on the site .",A prosperous Greek colony became a marginal Roman one as overland trade routes shifted away led lives unencumbered by great possessions in a city declining in importance and becoming a bit of a backwater,VP,Locative,writes,University of Michigan professor emeritus John Griffiths Pedley,No,Scene-setting,Other
text_acad_2010.txt,"We show that it just ai n't that simple , "" says Zubrow .",We show that it just ai n't that simple,VP,Non-locative,says,Zubrow,Yes,Quotative,Other
text_acad_2010.txt,"Instead of the spruce we see now , there might have been small oaks and hazel , reflecting the warmer temperatures of that time , "" explains Nurmi , who helped build some of the reconstructed Stone Age dwellings at the museum .","Instead of the spruce we see now , there might have been small oaks and hazel , reflecting the warmer temperatures of that time",PP,Non-locative,explains,"Nurmi , who helped build some of the reconstructed Stone Age dwellings at the museum",Yes,Quotative,Other
text_acad_2010.txt,"The reason we can see them so clearly is that these were semisubterranean houses , "" explains Sliden as she stamps around the perimeter of what would have once been a little thatched wooden hut .",The reason we can see them so clearly is that these were semisubterranean houses,AdvP,Locative,explains,Sliden,Yes,Quotative,Other
text_acad_2010.txt,"We think that the island may have been an ancient trade center , with the large wooden structure acting as a market perhaps , "" says Sliden .","We think that the island may have been an ancient trade center , with the large wooden structure acting as a market perhaps",VP,Locative,says,Sliden,Yes,Quotative,Other
text_acad_2010.txt,"On the south side of the river we have found a number of similar large , isolated rectangular depressions , each containing a narrow range of specialized assemblages , another by ceramics , "" says Costopoulos .","On the south side of the river we have found a number of similar large , isolated rectangular depressions , each containing a narrow range of specialized assemblages , another by ceramics",VP,Locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"Seal fat really stinks , "" says Eva Hulse , a post-doctoral researcher at the University at Buffalo .",Seal fat really stinks,VP,Non-locative,says,"Eva Hulse , a post - doctoral researcher at the University at Buffalo",Yes,Quotative,Other
text_acad_2010.txt,"Because of its stability , living at Kierikki was really advantageous and more and more people began to gather there , "" says Costopoulos .","Because of its stability , living at Kierikki was really advantageous and more and more people began to gather there",Other,Non-locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"With a greater diversity of environments to draw from without having to travel much , it is more likely that something will be in season at any one time of the year , "" explains Costopoulos .","With a greater diversity of environments to draw from without having to travel much , it is more likely that something will be in season at any one time of the year",PP,Non-locative,explains,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"When people lived in clusters of houses they appears that central focus is lost , "" says Costopoulos .",When people lived in clusters of houses they appears that central focus is lost,VP,Non-locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"Pollen cores show that temperatures did n't really change throughout the period , perhaps because the Laurentide Ice Sheet was slower to melt than the glaciers in Finland and would have moderated the temperature , "" says Costopoulos .","Pollen cores show that temperatures did n't really change throughout the period , perhaps because the Laurentide Ice Sheet was slower to melt than the glaciers in Finland and would have moderated the temperature",VP,Non-locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"We think that the main resource is stability , "" says Costopoulos .",We think that the main resource is stability,VP,Non-locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"It is a great opportunity to test our theory , to see if our model can be generalized outside of the postglacial area , "" says Costopoulos .","It is a great opportunity to test our theory , to see if our model can be generalized outside of the postglacial area",Other,Locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"We can take some of the solutions that worked for them in times of uncertainty and integrate them into the way we live today , "" says Costopoulos .",We can take some of the solutions that worked for them in times of uncertainty and integrate them into the way we live today,VP,Non-locative,says,Costopoulos,Yes,Quotative,Other
text_acad_2010.txt,"In around 2,000 years we 'll meet up with Sweden , "" says Sliden .","In around 2,000 years we 'll meet up with Sweden",VP,Locative,says,Sliden,Yes,Quotative,Other
text_acad_2010.txt,"Ray 's a fixture in the community , "" says Chris Dillon , director of special projects for the senator .",Ray 's a fixture in the community,PP,Non-locative,says,"Chris Dillon , director of special projects for the senator",Yes,Quotative,Other
text_acad_2010.txt,"Finding so much of it is really very exciting , "" says Joseph Schwarzer , director of the North Carolina Maritime Museum .",Finding so much of it is really very exciting,AdvP,Non-locative,says,"Joseph Schwarzer , director of the North Carolina Maritime Museum",Yes,Quotative,Other
text_acad_2010.txt,"Even modern electronic distance meters have limited functionality ; if we ca n't see through the trees , neither can they .",Even modern electronic distance meters have limited functionality,VP,Non-locative,can,they,No,Discourse structuring,Other
text_acad_2010.txt,"Even modern electronic distance meters have limited functionality ; if we ca n't see through the trees , neither can they .",if we ca n't see through the trees,Quotative,Non-locative,can,they,No,Discourse structuring,Other
text_acad_2010.txt,Clearly visible -- as ripples in the valleys and hillsides -- are the agricultural terraces the ancient Maya constructed to feed the sprawling city .,Clearly visible -- as ripples in the valleys and hillsides,AdjP,Locative,are,the agricultural terraces the ancient Maya constructed to feed the sprawling city,No,Scene-setting,Other
text_acad_2010.txt,"Finally we have the chance to understand more about their daily life , "" says archaeologist Giovannangelo Camporeale , of the University of Florence who , for the past 30 years , has been working near Massa Marittima , on one of the largest settlements of the Archaic period ever found .",Finally we have the chance to understand more about their daily life,VP,Non-locative,says,"archaeologist Giovannangelo Camporeale , of the University of Florence who , for the past 30 years , has been working near Massa Marittima",Yes,Quotative,Other
text_acad_2010.txt,"Most likely , it was due to the onset of an economic crisis -- possibly a decline in the profitability of the mining industry , "" says Camporeale .","Most likely , it was due to the onset of an economic crisis -- possibly a decline in the profitability of the mining industry",AdvP,Non-locative,says,Camporeale,Yes,Quotative,Other
text_acad_2010.txt,"I know of no other sets of jewelry that have been discovered in a similar context , "" says Alexis Castor of Franklin &; Marshall College , an expert in ancient jewelry who works with the project .",I know of no other sets of jewelry that have been discovered in a similar context,VP,Non-locative,says,"Alexis Castor of Franklin & ; Marshall College , an expert in ancient jewelry who works with the project",Yes,Quotative,Other
text_acad_2010.txt,"When I saw these pairs of earrings and pendants , including a pendant with a canine tooth , "" says Castor , "" I these pieces out of their jewelry boxes and taking them to the sanctuary to be offered up .","When I saw these pairs of earrings and pendants , including a pendant with a canine tooth",VP,Non-locative,says,Castor,Yes,Quotative,Other
text_acad_2010.txt,"When I saw these pairs of earrings and pendants , including a pendant with a canine tooth , "" says Castor , "" I these pieces out of their jewelry boxes and taking them to the sanctuary to be offered up .","When I saw these pairs of earrings and pendants , including a pendant with a canine tooth",VP,Non-locative,says,I these pieces out of their jewelry boxes and taking them to the sanctuary to be offered up,No,Discourse structuring,Other
text_acad_2010.txt,"The fact that a woman donated her own pieces to the deity speaks to me of her intimate and personal religious act in a way that other mass-produced votive offerings such as terracottas or bronze figurines do n't , "" says Castor .",The fact that a woman donated her own pieces to the deity speaks to me of her intimate and personal religious act in a way that other mass - produced votive offerings such as terracottas or bronze figurines do n't,VP,Non-locative,says,Castor,Yes,Quotative,Other
text_acad_2010.txt,"Usually , the clay dissolves and , apart from some fragments , all that remains are red layers , "" says Rafanelli .","the clay dissolves and , apart from some fragments , all that remains are red layers",Other,Non-locative,says,Rafanelli,Yes,Quotative,Other
text_acad_2010.txt,"Hapi-Men must have loved his dog , and after his death soon enough to have been mummified and buried with his master , "" says Salima Ikram of the American University in Cairo .","Hapi - Men must have loved his dog , and after his death soon enough to have been mummified and buried with his master",VP,Non-locative,says,Salima Ikram of the American University in Cairo,Yes,Quotative,Other
text_acad_2010.txt,"Perhaps of all the archaeological cases for pets I can think of , "" says Michael MacKinnon , an archaeologist from the University of Winnipeg , "" I believe the Yasmina ' sick ' dog is the most poignant .",Perhaps of all the archaeological cases for pets I can think of,VP,Non-locative,says,"Michael MacKinnon , an archaeologist from the University of Winnipeg",Yes,Quotative,Other
text_acad_2010.txt,"But the edict came too late for the Caspian tiger , says Carlos Driscoll , a biologist at the US National Cancer Institute 's Laboratory of Genomic Diversity in Frederick , Maryland .",But the edict came too late for the Caspian tiger,VP,Non-locative,says,"Carlos Driscoll , a biologist at the US National Cancer Institute 's Laboratory of Genomic Diversity in Frederick , Maryland",Yes,Quotative,Other
text_acad_2010.txt,"They 're among conservation 's most poignant morality tales of loss , "" says Driscoll , who aims to make a difference for at least one tiger subspecies .",They 're among conservation 's most poignant morality tales of loss,PP,Non-locative,says,"Driscoll , who aims to make a difference for at least one tiger subspecies",Yes,Quotative,Other
text_acad_2010.txt,"They allow the tugai to flourish , "" says Olga Pereladova , director of the World Wildlife Fund ( WWF )",They allow the tugai to flourish,VP,Non-locative,says,"Olga Pereladova , director of the World Wildlife Fund ( WWF",Yes,Quotative,Other
text_acad_2010.txt,"The Year of the Tiger "" To be successful as a hunter , a tiger must commit totally to the final charge , "" says biologist Mel Sunquist , of the University of Florida at Gainesville .","The Year of the Tiger "" To be successful as a hunter , a tiger must commit totally to the final charge",VP,Non-locative,says,"biologist Mel Sunquist , of the University of Florida at Gainesville",Yes,Quotative,Other
text_acad_2010.txt,"In this Year of the Tiger , what are the "" Caspian "" tiger 's prospects ?",In this Year of the Tiger,PP,Non-locative,are,"the "" Caspian "" tiger 's prospects",No,Discourse structuring,Other
text_acad_2010.txt,""" Working within existing protected areas , we could have a substantial increase in the number of tigers make the commitment , "" says Alan Rabinowitz , president of Panthera , an organization dedicated to conserving the world 's 36 wild cat species . """,""" Working within existing protected areas , we could have a substantial increase in the number of tigers make the commitment",VP,Locative,says,"Alan Rabinowitz , president of Panthera , an organization dedicated to conserving the world 's 36 wild cat species",Yes,Quotative,Other
text_acad_2010.txt,"Conservation geneticists usually tell us what we ca n't do , "" says Eric Dinerstein , chief scientist and vice president for conservation science at WWF . """,Conservation geneticists usually tell us what we ca n't do,VP,Non-locative,says,"Eric Dinerstein , chief scientist and vice president for conservation science at WWF",Yes,Quotative,Other
text_acad_2010.txt,"If there is magic in an animal , it is contained in the tiger , believes wildlife biologist George Schaller , vice president of Panthera .","If there is magic in an animal , it is contained in the tiger",VP,Non-locative,believes,"wildlife biologist George Schaller , vice president of Panthera",No,Discourse structuring,Other
text_acad_2010.txt,"Here the question is , How expansive and complex are the genetic bases of traits ?","Here the question is , How expansive and complex",AdvP,Locative,are,the genetic bases of traits,No,Scene-setting,Other
text_acad_2010.txt,"The mechanism of energy input and the need for the work are coupled such that as soon as the work runs out , so does the energy , and the metastable structure ( or process ) dissipates back into the cytosol .","The mechanism of energy input and the need for the work are coupled such that as soon as the work runs out , so",Other,Non-locative,does,the energy,No,Discourse structuring,Other
text_acad_2010.txt,"; Francesco Laio , Francesco Laio is with Dipartimento di Idraulica , Trasporti ed infrastrutture Civili , Politecnico di Torino , Corso Duca degli Abruzzi , in Turin , Italy. ; Amilcare Porporato , Amilcare Porporato is with the Department of Civil and Environmental Engineering , at Duke University , in Durham , North Carolina. ; Luca Ridolfi , Luca Ridolfi is with Dipartimento di Idraulica , Trasporti ed infrastrutture Civili , Politecnico di Torino , Corso Duca degli Abruzzi , in Turin , Italy. ; Andrea Lausanne , in Lausanne , Switzerland , and the Universit di Padova , in Padua , Italy .","; Francesco Laio , Francesco Laio is with Dipartimento di Idraulica , Trasporti ed infrastrutture Civili , Politecnico di Torino , Corso Duca degli Abruzzi , in Turin , Italy . ; Amilcare Porporato , Amilcare Porporato is with the Department of Civil and Environmental Engineering , at Duke University , in Durham , North Carolina .",PP,Locative,is,"Andrea Lausanne , in Lausanne , Switzerland , and the Universit di Padova , in Padua , Italy",No,Scene-setting,Other
text_acad_2010.txt,"Therefore , a second research question is : What are the cumulative impacts of non-human , predisturbance longitudinal discontinuities on river processes when considered at network -- and larger -- scales ?","Therefore , a second research question is : What",AdvP,Non-locative,are,"the cumulative impacts of non - human , predisturbance longitudinal discontinuities on river processes when considered at network -- and larger",No,Discourse structuring,Other
text_acad_2010.txt,"Therefore , a second research question is : What are the cumulative impacts of non-human , predisturbance longitudinal discontinuities on river processes when considered at network -- and larger -- scales ?","Therefore , a second research question is : What",AdvP,Non-locative,are,scales,No,Discourse structuring,Other
text_acad_2010.txt,With the inter- and transdisciplinary development and use of tools comes the challenge of cross-disciplinary communication .,With the inter- and transdisciplinary development and use of tools,PP,Non-locative,comes,the challenge of cross - disciplinary communication,No,Discourse structuring,Other
text_acad_2010.txt,""" The USGS Coalition is pleased to honor Representatives Moran and Simpson , "" said Robert Gropp , policy .",The USGS Coalition is pleased to honor Representatives Moran and Simpson,AdjP,Non-locative,said,"Robert Gropp , policy",Yes,Quotative,Other
text_acad_2010.txt,""" The directive issued by Secretary Salazar is an improvement from the draft policy , "" said AIBS Executive Director Richard O'Grady .",The directive issued by Secretary Salazar is an improvement from the draft policy,Other,Non-locative,said,AIBS Executive Director Richard O'Grady,Yes,Quotative,Other
