type,sentence,fronted_constituent,verb,subject,constituent_type,is_locative,confidence,validation_reasons,paragraph_index,sentence_index,file
complex_pp_inversion,"As Kilian McDonnell has noted , the text has two main contentions : "" the unique role of Christ in the salvation of all humanity and the unique role of the church in that universal salvation . "" ( n2 ) The document raises a number of necessary cautions about some directions in contemporary Catholic theology particularly in its rejection of religious relativism ( no. 22 ) . <p> In regard to dialogue with @ @ @ @ @ @ @ @ @ @ that in the mystery of Christ "" the full revelation of divine truth is given "" ( no. 5 ) .","In regard to dialogue with @ @ @ @ @ @ @ @ @ @ that in the mystery of Christ "" the full revelation of divine truth",is,"given """,PP (Complex Prepositional Phrase),True,medium,Quoted text spans front and subject - likely not inversion; Common inversion verb; Very long fronted constituent,101,4,text_acad_2001.txt
numeric_inversion,"One of the most positive responses came from an editorial in Christianity Today , the flagship magazine for U.S.",One of the most positive responses,came,an editorial in Christianity Today,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,101,11,text_acad_2001.txt
numeric_inversion,"The pope assured the WARC representatives that the Catholic Church 's commitment to ecumenical dialogue was "" irrevocable . "" ( n7 ) Cardinal Edward Cassidy , then President of the Pontifical Council for Promoting Christian Unity , said in an exchange with faculty and students at the Catholic University of America that Dominus Iesus "" has had a very negative impact "" @ @ @ @ @ @ @ @ @ @ an address on the ecumenical role of the bishop , given at a workshop for the U.S. bishops , the Cardinal spoke of a fear "" hidden , but yet having an enormous influence on policy and action within our church ... that ecumenism threatens the doctrinal understanding of the church . "" Reaffirming the Church 's ecumenical commitment , he argued that ecumenism can never be just a program : "" ecumenism is in the nature of being the Catholic Church . "" ( n9 ) Cardinal Walter Kasper , Cassidy 's successor , criticized the language of the document , its affirmation that the churches that grew out of the 16th-century Reformation were not "" churches in the proper sense , "" and its failure to mention the fruits of ecumenical dialogue since the council. ( n10 ) <p> Two things were particularly problematic .",Two things,were,particularly problematic,Numeric Expression,False,medium,Common inversion verb,101,15,text_acad_2001.txt
numeric_inversion,"On what basis @ @ @ @ @ @ @ @ @ @ an untenable and unstable policy . "" ( n23 ) <p> One assumption in the traditional discussion of cooperation is that the act with which one cooperated was in fact a moral evil .",One assumption in the traditional discussion of cooperation,is,a moral evil,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,102,97,text_acad_2001.txt
complex_pp_inversion,"In contrast to the Roman Catholic theology that was dominant in his youth , Congar developed what he @ @ @ @ @ @ @ @ @ @ what he called a "" pneumatological ecclesiology. "" ( n26 ) This accomplishment is one of the most significant contributions of his theology of the Holy Spirit .",In contrast to the Roman Catholic theology that,was,"a "" pneumatological ecclesiology",PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,103,43,text_acad_2001.txt
complex_pp_inversion,"Nonetheless , there are some noteworthy developments in various dimensions of Congar 's theology including his reflections on ecclesial organization and structure. ( n82 ) In 1971 when Congar was 67 years old , he professed , "" I now see many things differently and , I hope , better in comparison with forty years ago ....",In 1971 when Congar,was,any things differently and,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,103,114,text_acad_2001.txt
complex_pp_inversion,"In terms that were once in widespread use in Catholic theology , Congar described the hierarchy as the formal cause of the Church and the members as the material cause. ( n86 ) The hierarchy 's precedence over the baptized assures that the Church is not simply a congregation of human beings but rather a divine institution from above ( d'en haut ) .",In terms that,were,a congregation of human beings but rather a divine institution from above ( d'en haut ),PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,103,118,text_acad_2001.txt
complex_pp_inversion,"CONCLUSION <p> In 1995 the Church mourned the death of a Dominican priest who was a pioneering ecumenist , a prisoner of Colditz and Lubeck during World War II , a scholar who persevered in his mission despite periods of silencing , a major contributor to the Second Vatican Council , a cardinal of the Church , and also a theologian of the Holy Spirit .",In 1995 the Church mourned the death of a Dominican priest who,was,a pioneering ecumenist,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,103,179,text_acad_2001.txt
complex_pp_inversion,"In Method Lonergan 's reflective , methodological analysis proceeds within the context of an explicit acknowledgment of religious experience . <p> In the period during which Lonergan was drafting Method , he struggled to synthesize the approach he had taken to transcendental knowledge in Insight and his affirmation of the priority of experimental grace such as that found in "" Grace and the Spiritual Exercises . "" ( n39 ) In January of 1968 , Lonergan responds in a letter to a question posed by a correspondent : <p> While we do not in this life experience God , we do not know him apart from experience .",In the period during which Lonergan,was,this life experience God,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,104,49,text_acad_2001.txt
coordinated_inversion,"To look on the world and see only God is truth ( for he who sees the creature divorced from its Creator is in abysmal ignorance ) , and it is to this God-filled vision of the world that the author leads ...",To look on the world and see only God,is,this God-filled vision of the world that the author leads,Coordinated Structure,True,high,Subject starts with determiner; Common inversion verb,104,82,text_acad_2001.txt
numeric_inversion,"Small business networks , trade unions , teachers ' associations , soup kitchens , and Internet entrepreneurs can all also contribute to democracy and so must be part of the equation as well . <p> One lesson of the 1990s is that spreading information about democracy through education is a cost-effective way to empower people and promote democratic values .",One lesson of the 1990s,is,a cost-effective way to empower people and promote democratic values,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,108,118,text_acad_2001.txt
numeric_inversion,Why have its policymakers dragged their heels for so long in formulating measures that could enhance the country 's competitive position in regional and foreign markets ? <p> One reason is the Convertibility Plan 's official prohibition of currency devaluation -- it would literally take an act of Argentina 's Congress to change the peso @ @ @ @ @ @ @ @ @ @ currency board also has deep historical roots in the chronic macroeconomic crises and hyperinflation that predate the 1990s .,One reason,is,a 's Congress to change the peso @ @ @ @ @ @ @ @ @ @ currency board also has deep historical roots in the chronic macroeconomic crises and hyperinflation that predate the 1990s,Numeric Expression,False,medium,"Subject starts with determiner; Likely a question, not inversion; Common inversion verb; Subject much longer than fronted element",109,50,text_acad_2001.txt
complex_pp_inversion,"In a financial system in which 70 percent of debt is dollar-denominated , a standard depreciation of the peso would raise the price of servicing dollar-denominated loans and possibly trigger default by consumers and businesses .",In a financial system in which 70 percent of debt,is,a standard depreciation of the peso would raise the price of servicing dollar-denominated loans and possibly trigger default by consumers and businesses,PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,109,90,text_acad_2001.txt
numeric_inversion,"Two steps were key to their political success : first , they resolved catastrophic problems , especially hyperinflation ( and , in Peru , large-scale insurrectionary violence ) ; and second , they restored economic growth and brought some social improvements to their peoples .",Two steps,were,their political success,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,110,34,text_acad_2001.txt
numeric_inversion,"Although its ringleader , a former intelligence officer named @ @ @ @ @ @ @ @ @ @ 16 accomplices ( including several colonels ) , many other members of the organization escaped prosecution and continue working today . <p> One reason that Guatemala 's military and its intelligence services have turned to crime in such numbers is that these institutions were never imbued with respect for the rule of law or civilian oversight .",One reason that Guatemala 's military and its intelligence services have turned to crime in such numbers,is,that these institutions were never imbued with respect for the rule of law or civilian oversight,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,111,100,text_acad_2001.txt
coordinated_inversion,"THE WEST AGAINST ITSELF <p> In the moral dispute between the "" West "" and the "" rest , "" both sides make the mistake of assuming that the other speaks with one voice .","In the moral dispute between the "" West "" and the """,rest,that the other speaks with one voice,Coordinated Structure,True,medium,Subject starts with determiner; Quoted text spans front and subject - likely not inversion; Common inversion verb,112,116,text_acad_2001.txt
numeric_inversion,One reason for that is the global diffusion of human rights talk -- the language that most consistently articulates the moral equality of all the individuals on the face of the earth .,One reason for that,is,that most consistently articulates the moral equality of all the individuals on the face of the earth,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,112,135,text_acad_2001.txt
numeric_inversion,One reason for this was the country 's unique geographic and geopolitical situation .,One reason for this,was,the country 's unique geographic and geopolitical situation,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,114,31,text_acad_2001.txt
numeric_inversion,"But they were overshadowed by a larger and more vocal cohort of anti-Westerners , who themselves comprised three groups : the Third Worldists , the orthodox Marxists , and the neonationalists . <p> The Third Worldists considered imperialism the most important political issue of the day and rejected everything that the developed world stood for , including Western values and industrial modernization .",Third Worldists considered imperialism the most important political issue of the day and rejected everything that the developed world,stood,Western values and industrial modernization,Numeric Expression,False,medium,Common inversion verb; Very long fronted constituent,114,70,text_acad_2001.txt
numeric_inversion,"The challenge will be to find an effective middle ground among the rival parties in this debate : environmentalists and free traders , the United States and the EU , and the industrialized and developing worlds . <p> One proposal favored by European governments and environmental advocates on both sides of the Atlantic is to write a "" precautionary principle "" into WTO rules .",One proposal favored by European governments and environmental advocates on both sides of the Atlantic,is,"a "" precautionary principle "" into WTO rules",Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,115,54,text_acad_2001.txt
numeric_inversion,It was the first organization to lend and provide equity capital to small enterprises in @ @ @ @ @ @ @ @ @ @ pension system . <p> One lesson learned from the smaller funds is that a minimum capital base of $100 million helps assure viability . ( Operating costs alone generally run at least $2 million to $3 million annually ) .,One lesson learned from the smaller funds,is,a minimum capital base of $100 million helps assure viability,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,118,43,text_acad_2001.txt
numeric_inversion,"One HIPC that recently qualified for interim debt relief is already falling far behind schedule -- even on easy , inexpensive measures .",One HIPC that recently qualified for interim debt relief,is,already falling far behind schedule -- even on easy,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,120,114,text_acad_2001.txt
numeric_inversion,One might concede this history but argue that the more relevant evidence is what has happened over the last decade .,One might concede this history but argue that the more relevant evidence,is,the last decade,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,121,18,text_acad_2001.txt
complex_pp_inversion,"Although it is certainly in Chinas interest to be the hegemon in Northeast Asia , it is clearly not in the interest of the United States to have that happen . <p> At the same time that it is building up rather than placing obstacles in the way of its greatest potential rival , the United States is also exposing itself to trouble rather than taking sensible precautions in advance of future conflict .",At the same time that it,is,her than placing obstacles in the way of its greatest potential rival,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,121,131,text_acad_2001.txt
complex_pp_inversion,"Various Russians have different answers to each of these questions , but apparently few of them , not even the president and senior policymakers , understand that they have to answer those questions in order . <p> In the case of globalization -- a topic that is beginning to rival multipolarity in Russian analytical circles -- much of the discussion is about winners and losers and the threats that globalization poses .",In the case of globalization -- a topic that,is,that globalization poses,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,122,52,text_acad_2001.txt
numeric_inversion,"One wonders whether local workers are made better off as a result . <p> Although external certification may help promote higher environmental and labor standards , it can also take these gains away by limiting competition , strengthening monopoly power , lowering wages , and undermining economic development .",One wonders whether local workers,are,a result,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,125,122,text_acad_2001.txt
numeric_inversion,"American foundations , for example , have provided generous support to NGOs that seek to act as multinational monitors , and corporations are even hiring these organizations to act in that capacity -- another sign of the growing symbiotic relationship between firms and NGOs . <p> One prominent proponent of triple bottom line accounting is the Global Reporting Initiative ( GRI ) , which grew out of the "" Valdez principles "" on corporate responsibility that emerged after the Exxon Valdez oil spill .",One prominent proponent of triple bottom line accounting,is,that emerged after the Exxon Valdez oil spill,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,125,127,text_acad_2001.txt
numeric_inversion,One of the more unexpected aspects of the ethics movement is that it has found direct action focused on big business to be more effective in altering corporate behavior than indirect action focused on government regulation .,One of the more unexpected aspects of the ethics movement,is,that it has found direct action focused on big business to be more effective in altering corporate behavior than indirect action focused on government regulation,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,125,141,text_acad_2001.txt
numeric_inversion,"What staved off total economic collapse was the pumping of funds and credit by the Gulf states , OECD and the former Soviet Union. ( n6 ) <p> MILITARIZATION OF THE ECONOMY <p> One of the most significant changes to take place in the Iraqi economy in the decades of the 1970s and the 1980s was the massive shift of labor from the civilian economy to the military and the sharp increase in military spending and military imports .",One of the most significant changes to take place in the Iraqi economy in the decades of the 1970s and the 1980s,was,an economy to the military and the sharp increase in military spending and military imports,Numeric Expression,False,medium,"Subject starts with determiner; Likely a question, not inversion; Common inversion verb; Very long fronted constituent",126,43,text_acad_2001.txt
complex_pp_inversion,The Iraqi president characterized oil actions leading to above quota production and lower prices as causing damage to the Iraqi economy that was similar to the economic damage inflicted by conventional wars. ( n6 ) <p> In addition @ @ @ @ @ @ @ @ @ @ Kuwait of using diagonal drilling to pump oil from that part of the Rumaila oil field that was located inside Iraqi territory .,In addition @ @ @ @ @ @ @ @ @ @ Kuwait of using diagonal drilling to pump oil from that part of the Rumaila oil field that,was,Iraqi territory,PP (Complex Prepositional Phrase),True,medium,Common inversion verb; Very long fronted constituent,126,58,text_acad_2001.txt
numeric_inversion,Two price scenarios were used in the calculations : a constant price of $20/b with an incremental of one dollar ( increase for inflation ) per year .,Two price scenarios,were,a constant price of $20/b with an incremental of one dollar ( increase for inflation ) per year,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,127,15,text_acad_2001.txt
numeric_inversion,"The focus in the next section of this article will be on Iraq 's indebtedness that began during the 1980s , deepened in the 1990s , and may remain unserviced for decades to come . <p> TWO : OLD DEBT AND OIL RELATED NEW DEBT <p> One of the explicit assumptions of this article is that Iraq -- under current oil production capacity @ @ @ @ @ @ @ @ @ @ 's accumulated debt .",One of the explicit assumptions of this article,is,that Iraq -- under current oil production capacity @ @ @ @ @ @ @ @ @ @ 's accumulated debt,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,127,96,text_acad_2001.txt
complex_pp_inversion,Under normal circumstances this is intended to give the borrower an opportunity to make a decision on which time horizon is more convenient considering the capacity to service debt obligations under the chosen option .,Under normal circumstances this is intended to give the borrower an opportunity to make a decision on which time horizon,is,more convenient considering the capacity to service debt obligations under the chosen option,PP (Complex Prepositional Phrase),True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,127,113,text_acad_2001.txt
coordinated_inversion,Under such an assumption the aggregate annual debt service is a combination of both old and new debts as were calculated above .,Under such an assumption the aggregate annual debt service is a combination of both old and new debts as,were,calculated above,Coordinated Structure,True,medium,Common inversion verb; Very long fronted constituent,127,146,text_acad_2001.txt
coordinated_inversion,"In the literature on debt one can find various types of indicators and ratios which are used to measure the magnitude , scale and severity of the debt burden , and to classify the level of indebtedness of the country under study .",In the literature on debt one can find various types of indicators and ratios which,are,the magnitude,Coordinated Structure,True,high,Subject starts with determiner; Common inversion verb,127,162,text_acad_2001.txt
numeric_inversion,"Relative measures could be related to economic variables , such as GDP or GNP , or financial variables , such as export revenues , or fiscal variables such as the government budget or expenditures etc . <p> Debt ( D ) /GDP Ratio <p> One of the most widely used measures of indebtedness is total debt ( D ) in relation to the gross @ @ @ @ @ @ @ @ @ @ GNP ) of the borrowing country : the higher the ratio the more indebted the country is .",One of the most widely used measures of indebtedness,is,her the ratio the more indebted the country is,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,127,167,text_acad_2001.txt
numeric_inversion,"The Security Council would have been aware of the implications of such a ratio on debt sustainability , leading @ @ @ @ @ @ @ @ @ @ Iraqi economy even further into the trap of indebtedness for many decades to come . <p> One might argue that since war reparations are linked to the country 's export earnings from "" petroleum and petroleum product exports "" Iraq could evade such a heavy obligation by choosing a non-oil dependent reconstruction path .",One might argue that since war reparations,are,a heavy obligation by choosing a non-oil dependent reconstruction path,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,127,270,text_acad_2001.txt
coordinated_inversion,"In such a situation such an Iraqi action will definitely violate one important clause -- in the Latin "" pari passo "" meaning the equal or parallel treatment of all debts @ @ @ @ @ @ @ @ @ @ country concluded during the 1980s and which remain as valid documentation of the old debt .","In such a situation such an Iraqi action will definitely violate one important clause -- in the Latin "" pari passo "" meaning the equal or parallel treatment of all debts @ @ @ @ @ @ @ @ @ @ country concluded during the 1980s and which",remain,the old debt,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,127,322,text_acad_2001.txt
complex_pp_inversion,"From a negotiation standpoint the inclusion of an objective criteria that is used by the IMF , the World Bank , UNCTAD , and many scholars could very well lead to a win-win negotiated outcome. ( n50 ) <p> Under such a strategy all external financial obligations of the country could be co-opted under one umbrella , including old and new debts , @ @ @ @ @ @ @ @ @ @ this strategy could very well accommodate the possible outcome or purpose of the first two strategies but under a different climate .",From a negotiation standpoint the inclusion of an objective criteria that,is,this strategy could very well accommodate the possible outcome or purpose of the first two strategies but under a different climate,PP (Complex Prepositional Phrase),True,high,Subject starts with determiner; Common inversion verb,127,345,text_acad_2001.txt
numeric_inversion,"One of the potential utilities of this strategy is its ability to deliver what might be called "" positive indebtedness "" : the conversion of financial indebtedness into desirable social , economic , environmental and political targets .",One of the potential utilities of this strategy,is,"its ability to deliver what might be called "" positive indebtedness """,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,127,349,text_acad_2001.txt
complex_pp_inversion,"Among the possible items that are directly related to debt are : debt relief ( forgiveness and/or reduction ) , restructuring , swap , buyback , rescheduling , conversion and fresh credit .",Among the possible items that,are,directly related to debt are,PP (Complex Prepositional Phrase),True,medium,Common inversion verb,127,356,text_acad_2001.txt
coordinated_inversion,"Between 1995 and 1997 the Sudanese government does appear to have limited , and ultimately curtailed , its support for Islamist movements operating against foreign targets . <p> Perhaps the clearest indication that the Sudanese government had moved towards satisfying those parts of Security Council resolution 1054 which related to support for terrorism was the improvement which occurred in its relations with neighbouring @ @ @ @ @ @ @ @ @ @ which had previously created conflict with these states was Sudanese support for Islamist groupings opposed to the regimes concerned .",Between 1995 and 1997 the Sudanese government does,appear,that the Sudanese government had moved towards satisfying those parts of Security Council resolution 1054 which related to support for terrorism was the improvement which occurred in its relations with neighbouring @ @ @ @ @ @ @ @ @ @ which had previously created conflict with these states was Sudanese support for Islamist groupings opposed to the regimes concerned,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,128,35,text_acad_2001.txt
coordinated_inversion,"In no instance , however , did their leaders "" compromise their own national interests or become Soviet stooges. "" ( n6 ) Baghdad 's interest in cooperation with Moscow "" was based on the need for a powerful patron in its efforts to shed all the remnants of Western colonialism and to establish Iraq as an autonomous member of the world order of nation states . "" ( n7 ) At the same time , however , the Iraqi "" ruling elite had shown stubborn resistance towards anything which could be regarded as an intrusion into the country 's internal affairs or as an infringement upon Iraq 's sovereignty over its international policies . "" ( n8 ) <p> On 8 February 1963 Quasim 's regime was overthrown and the Baath party came to power in Baghdad .",On 8 February 1963 Quasim 's regime was overthrown and the Baath party,came,Baghdad,Coordinated Structure,True,medium,Common inversion verb,130,11,text_acad_2001.txt
coordinated_inversion,In April 1995 an intergovernmental agreement was concluded which provided for Russian drilling in the oilfields of West Qurna and North Rumaili for a total amount of 15 billion U.S. dollars. ( n91 ) <p> In March 1997 another major contract between the Iraqi company SKOP and a group of Russian companies was signed .,In March 1997 another major contract between the Iraqi company SKOP and a group of Russian companies,was,signed,Coordinated Structure,True,medium,Common inversion verb; Very long fronted constituent,130,57,text_acad_2001.txt
numeric_inversion,"Between 1968 and 1970 he worked as a Soviet press correspondent in Baghdad and since then has had friendly relations with Saddam Hussein. ( n107 ) As he admitted himself , he even mediated between him and the Kurdish nationalists. ( n108 ) Primakov 's role as Gorbachev 's envoy during the Second Gulf War was also well remembered in Iraq and when he assumed the post of Russian Foreign Minister , this was welcomed there with great satisfaction. ( n109 ) <p> The first major test of his relations with Iraq came in the fall of 1996 when on 4 September American cruise missiles were launched against Iraqi territory .",Second Gulf War,was,this was welcomed there with great satisfaction,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Subject much longer than fronted element,130,66,text_acad_2001.txt
coordinated_inversion,"In the first six months of 1999 @ @ @ @ @ @ @ @ @ @ was allowed to be sold according to the U.N . "" oil for food "" program. ( n204 ) and at least two of them : Lukoil and Slavneft , already have their offices in Baghdad. ( n205 ) For Russia , whose own federal budget in 1999 amounted to only $24 billion U.S. , Iraq 's orders which now exceed $20 billion U.S. are considered to be vital sources of income. ( n206 ) <p> In its tough struggle for the restoration of its independence and preservation of its boundaries , Iraq is also apparently "" gambling on Russia as the main power which may help to end the sanctions , "" ( n207 ) and for the last ten years has been constantly showing Moscow its "" special sympathies "" . ( n208 ) In 2000 Saddam Hussein elevated Iraqi-Russian relations to the rank of a strategic partnership(n209) and on 18 March 2001 he told the Duma Speaker Gennadii Seleznev who was visiting Baghdad that "" he hopes to meet President Putin in the near future . "" ( n210 ) <p> This international configuration which is based @ @ @ @ @ @ @ @ @ @ countries does not need , however , to be either stable or lasting .",In 2000 Saddam Hussein elevated Iraqi-Russian relations to the rank of a strategic partnership(n209) and on 18 March 2001 he told the Duma Speaker Gennadii Seleznev who,was,"that "" he hopes to meet President Putin in the near future",Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,130,138,text_acad_2001.txt
numeric_inversion,"Then I will briefly observe how the actual relationship between Japan and Iraq has changed from the 1970s until today , and try to elucidate why the relationship worsened after introduction of the Oil-for-Food Program . <p> GENERAL TRENDS OF JAPANESE POLICY TOWARD THE MIDDLE EAST <p> Prior to the Second World War Japanese contacts with the Middle East were limited ; namely limited to minor transactions in textiles between Japan @ @ @ @ @ @ @ @ @ @ the Second World War , the Japanese government attempted to mobilize Muslim forces -- mainly in China and Indonesia -- against the Allies , and prominent ultra-nationalist ideologues within Japan espoused sympathy with Muslims in the colonized Middle East. ( n4 ) There was also an attempt to buy oil from the Gulf as a way to break through the oil embargo imposed by the Allied forces on Japan .",Second World War Japanese contacts with the Middle East,were,a and Indonesia -- against the Allies,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,131,8,text_acad_2001.txt
numeric_inversion,"Previously the Fifth Section of the Europe and American Division had followed political affairs in the Middle East , @ @ @ @ @ @ @ @ @ @ affairs there . <p> Some private companies attempted to secure oil supplies from the Middle East without going through the "" majors "" , and the Japanese Tanker Nisshoumaru arrived at Abadan port to buy oil from Mosaddeq 's Iran in 1953 .",Fifth Section of the Europe and American Division had,followed,an port to buy oil from Mosaddeq 's Iran in 1953,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,131,12,text_acad_2001.txt
numeric_inversion,"Government officials still held the view that those who supplied the Middle Eastern oil which "" we were heavily dependent on "" were "" certainly not the Middle Eastern countries ... but the so-called major oil companies . "" ( n5 ) <p> After The First Oil Crisis <p> It was the first oil crisis in 1973 that led Japan to take a more positive approach to the Middle East .",First Oil Crisis <p> It,was,a more positive approach to the Middle East,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,131,19,text_acad_2001.txt
numeric_inversion,"The fear of Japan 's being left behind from potential trade with Iraq has been evident since the middle of 1998 ; one diplomat admitted that "" the government should do something for Iraqi affairs , especially in the situation where some firms are suffering from huge amounts of unpaid debts and others may be @ @ @ @ @ @ @ @ @ @ "" ( n49 ) In 1999 , another diplomat proceeded to say , "" the MOFA would feel deep concern "" if the economic sanctions were to be lifted now , because "" there is a possibility that Japan will be left out of business with Iraq . "" ( n50 ) While insisting that Iraq 's implementation of all of the U.N . resolutions is necessary before economic ties can be expanded a diplomat in the Second Middle Eastern Division noted the "" maintenance of political dialogue between Japan and Iraq "" was a second priority for its diplomatic policy toward Iraq , "" in order to keep Iraq involved in international society , as Japan believes its commitment to Iraq would contribute to a change for the better in Iraqi attitudes . "" ( n51 ) Exhibiting this more balanced approach Japan was not the first country to support the United States military attack against Iraq in February 2001 . <p> Even though Japan has shown some changes in its diplomatic policy , the Iraqi response has been cool ; Iraqi newspapers complain that Japan has not made @ @ @ @ @ @ @ @ @ @ ( n52 ) Said al-Sahhaf , the then Foreign Minister of Iraq , charged Japan with being "" hostile to Iraq "" , and insisted that "" Japan would remain blacklisted from Iraqi trade deals "" because Iraqis could not "" tolerate giving contracts to a country the government of which contributes to hostile stands toward Iraq . "" ( n53 ) <p> CONCLUSION <p> In concluding this essay , it is worth quoting some of Hideaki Sugita 's work on Japanese perspectives toward the Middle East in the pre-War period .","Second Middle Eastern Division noted the "" maintenance of political dialogue between Japan and Iraq """,was,this more balanced approach Japan was not the first country to support the United States military attack against Iraq in February 2001,Numeric Expression,False,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,131,150,text_acad_2001.txt
numeric_inversion,"Yes , it is over the green line , but there are 10,000 people here . "" Three paragraphs later came this assessment , in reporter Larry Kaplow 's own words : "" Givat Ze'ev is a settlement , meaning it was built on Arab land captured by Israel in the 1967 Middle East war . "" And two paragraphs later : "" An American-backed commission this week suggested that the growing settlements are provocations ' that hinder peace . "" The piece continued to maintain an aggressive tone of balance throughout : PREFORMATTED TABLE <p> On 24 May , in a report from the West Bank settlement of Alon Shevut , the Chicago Tribune also focused on the issue of "" natural growth . "" In its opening paragraphs the story quoted settler Ruthie Lieberman , a "" Cleveland-born Israeli , "" who observed : "" . we hope to keep growing .",Three paragraphs later,came,this assessment,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,133,75,text_acad_2001.txt
complex_pp_inversion,"On a level much more grandiose , by focusing on the direct impact that U.S. foreign policy has on the conflict and thereby adding much-needed depth to their coverage , the media could serve the cause of advancing a just peace . <p> In a global age whose mantra is integration , sound-bite journalism limited to one-dimensional reporting of complex stories of international import is pass .",In a global age whose mantra,is,integration,PP (Complex Prepositional Phrase),True,medium,Common inversion verb,133,128,text_acad_2001.txt
numeric_inversion,"The Front was established following the repressive police response to the May First demonstrations held in Nazareth and Um-al-Fahim during which 350 Arabs were arrested. sup18 <p> The Military Governor tried to prevent the Front 's inauguratory meeting , which was due to take place in Acre , by imposing movement restrictions on 37 of the leading public figures. sup19 Yani was among these leaders and was ordered to appear at police headquarters twice a day for a week .",First demonstrations held in Nazareth and Um-al-Fahim during which 350 Arabs,were,a day for a week,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,134,63,text_acad_2001.txt
coordinated_inversion,In the 1964 election campaigns of both the Islamic List and the United Block religious motifs and slogans were predominant .,In the 1964 election campaigns of both the Islamic List and the United Block religious motifs and slogans,were,predominant,Coordinated Structure,True,medium,Common inversion verb; Very long fronted constituent,134,99,text_acad_2001.txt
coordinated_inversion,"For example , the leaflet of the Islamic List began with the title , "" In the Name of God "" and was followed by Koranic verses , in which the Moslems were called upon to unite .","In the Name of God "" and was",followed,the Moslems were called upon to unite,Coordinated Structure,True,medium,Subject starts with determiner; Quoted text spans front and subject - likely not inversion; Common inversion verb,134,100,text_acad_2001.txt
numeric_inversion,"Three issues were laid down in the struggle discussed in this paper , and these issues were of the utmost significance for the emergence of the Palestinians in Israel as a national minority @ @ @ @ @ @ @ @ @ @ collective identity developed , and this conceptualization has become predominant , especially since the mid 1970s .",Three issues,were,this paper,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,134,164,text_acad_2001.txt
numeric_inversion,One of the footnotes indicates that the numbers are taken from the Minorities ' Department of the Ministry of Interior .,One of the footnotes indicates that the numbers,are,the Minorities ' Department of the Ministry of Interior,Numeric Expression,False,high,Subject starts with determiner; Common inversion verb,134,205,text_acad_2001.txt
coordinated_inversion,In the creation of an alliance a new set of signs and symbols for other nations is born at the same time .,In the creation of an alliance a new set of signs and symbols for other nations,is,the same time,Coordinated Structure,True,medium,Subject starts with determiner; Common inversion verb; Very long fronted constituent,135,172,text_acad_2001.txt
